"","genes","PPEE","PPDE","PostFC","RealFC","Direction","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"52","gene-ACX60_RS00260_ACX60_RS00260",0.0416560140495469,0.958343985950453,0.41627414294196,0.416076526698602,"D Over L",1470.53486395038,1227.02769967092,2425.23979728024,359.947496852185,584.000066003256,35.1195812773092
"98","gene-ACX60_RS00495_dtd",0.000290797941449927,0.99970920205855,1.83692733626746,1.84177194019404,"D Over L",57.6823506713408,88.6021215174994,80.2655818957431,114.420396350363,128.338724182167,175.597906386546
"187","gene-ACX60_RS00960_betT",0.0135223669008883,0.986477633099112,0.325632121898178,0.32558638556931,"D Over L",7649.11779282236,8245.20919062847,9400.21726201792,2005.93257351731,2471.40350512265,926.11636553497
"240","gene-ACX60_RS01225_ACX60_RS01225",0.00773200429196874,0.992267995708031,2.36247793081631,2.36705169426064,"D Over L",116.094857680294,55.0971175823105,110.746182615646,307.504815191602,246.080672973146,684.181472291284
"254","gene-ACX60_RS01295_ACX60_RS01295",3.70784760261866e-06,0.999996292152397,1.90562782827338,1.91365458262756,"D Over L",54.0315689832813,60.3090070833399,56.8971213438179,138.257978923356,134.225821621716,210.717487663855
"266","gene-ACX60_RS01355_ACX60_RS01355",0.00295046036829949,0.997049539631701,0.420041217681626,0.419636437595883,"D Over L",907.584327651603,1061.73634692398,781.319398453499,277.707836975361,340.274232005929,131.373248481786
"285","gene-ACX60_RS01450_ACX60_RS01450",0.00109115946767624,0.998908840532324,2.13492373383336,2.13692760870521,"D Over L",430.792239191026,244.214250905376,341.382728062907,899.868742130462,818.306544097304,1230.48606993832
"290","gene-ACX60_RS01475_ACX60_RS01475",0.0251994780174661,0.974800521982534,1.8501724155884,1.85506908623674,"D Over L",83.2378224877576,87.113010231491,61.9772214638016,182.357506683392,146.000016500814,154.786302666659
"320","gene-ACX60_RS01625_rpoZ",4.73001228828984e-06,0.999995269987712,1.93290113391252,1.93377389985066,"D Over L",476.792088460577,557.672176610143,620.788234662013,707.976202417873,883.064615932342,1121.22515040891
"334","gene-ACX60_RS01695_ACX60_RS01695",0.0469313838021697,0.95306861619783,1.98164544913057,1.98708406906797,"D Over L",143.840798509546,87.8575658744952,107.698122543655,289.626628261857,269.629062731342,249.739244638643
"338","gene-ACX60_RS01715_ACX60_RS01715",0.00123049557529165,0.998769504424708,0.345734847028853,0.345132609176704,"D Over L",667.362892577285,713.28430599802,755.918897853581,137.066099794706,135.403241109626,44.2246579047598
"498","gene-ACX60_RS02520_rpsI",0.00206746841779637,0.997932531582204,2.58427380808921,2.58476747941897,"D Over L",1371.96375837278,1218.09303195487,1386.86733275556,2835.48044705744,2881.14548691526,6390.46306723779
"545","gene-ACX60_RS02765_ACX60_RS02765",0.00683108684905565,0.993168913150944,0.528342583553027,0.524634967980177,"D Over L",62.7934450346242,61.0535627263441,109.730162591649,25.029461701642,29.4354871977447,20.811603719887
"552","gene-ACX60_RS02800_ACX60_RS02800",0.00188916925106297,0.998110830748937,0.508721767341954,0.508327656310563,"D Over L",578.283819388632,601.600959547391,766.079098093548,239.567704858573,267.274223755522,149.583401736688
"555","gene-ACX60_RS02815_ACX60_RS02815",0.0377338793512385,0.962266120648761,1.93915909048031,1.94297379065462,"D Over L",155.523299911337,92.3248997325204,179.835544247424,436.22776108576,348.516168421298,710.195976941142
"604","gene-ACX60_RS03065_ACX60_RS03065",3.53724716184445e-10,0.999999999646275,3.14089362302856,3.14993670797691,"D Over L",610.410698243556,52.1188950102938,580.147433702143,927.281962089403,811.242027169845,505.982115439752
"762","gene-ACX60_RS03865_rpmA",0.0342231232566187,0.965776876743381,3.73410859052232,3.73604462453177,"D Over L",422.760519477295,571.818733827223,565.923153366189,1088.1856444571,1226.871106402,2614.4577173108
"822","gene-ACX60_RS04165_ACX60_RS04165",0.000164109962694114,0.999835890037306,0.494354877022555,0.494292738319345,"D Over L",4041.41532868192,3313.27261136867,4201.24279922655,1383.77166836221,1535.35501223437,1009.36278041452
"826","gene-ACX60_RS04185_ACX60_RS04185",3.59882512623866e-06,0.999996401174874,0.440972464065292,0.440354835542947,"D Over L",617.712261619675,563.628621754177,587.25957387012,246.718979630471,222.53228321495,152.184852201673
"830","gene-ACX60_RS04205_ACX60_RS04205",4.60997806595032e-09,0.999999995390022,2.67760988630199,2.70433537776845,"D Over L",50.3807872952217,29.7822257201679,54.8650812958244,132.298583280108,158.951630867822,163.89137929411
"959","gene-ACX60_RS04875_carO",0.000134536966260423,0.99986546303374,0.377621609626777,0.37761243166182,"D Over L",55829.9440428194,35161.6402408732,68970.4872889713,9023.71688300626,12909.2272654429,2069.45384489626
"995","gene-ACX60_RS05055_ACX60_RS05055",0.0116235003516718,0.988376499648328,0.516677907009751,0.516407255190864,"D Over L",1151.45654441398,817.522096018608,1307.61777088381,469.60037668795,475.677473115555,150.88412696918
"1086","gene-ACX60_RS05515_ACX60_RS05515",0.00370665638702827,0.996293343612972,0.203432071650353,0.201990196096978,"D Over L",194.95174214238,206.986468755167,229.620525423265,35.7563738594886,61.2258133713091,20.811603719887
"1157","gene-ACX60_RS05875_ACX60_RS05875",0.00123826146672656,0.998761738533273,0.528745405686515,0.528667421410479,"D Over L",4965.79325209859,4068.99658901793,6020.93466220473,1829.53446247716,2195.88734495176,235.431267081221
"1192","gene-ACX60_RS06055_ACX60_RS06055",0.00164509939214796,0.998354900607852,0.338116272576008,0.334152970247088,"D Over L",43.8093802567145,84.8793433024784,38.6087609118764,8.34315390054733,12.9516143670077,14.3079775574223
"1247","gene-ACX60_RS06330_rpsU",0.00146770131449048,0.99853229868551,2.16332534186819,2.16438493189948,"D Over L",350.475042053716,617.236628050479,496.83379173441,581.637014781014,908.967844666358,1706.55150503073
"1260","gene-ACX60_RS06395_ACX60_RS06395",0.000187465141700094,0.9998125348583,0.485506446801138,0.484070441169051,"D Over L",97.8409492399958,179.437909964011,137.162703239561,110.844758964415,70.6451692745874,44.2246579047598
"1266","gene-ACX60_RS06425_ACX60_RS06425",0.00106286037786896,0.998937139622131,0.450530747120097,0.449509652704793,"D Over L",365.808325143566,244.958806548381,417.584229862664,75.088385104926,74.1774277383168,11.7065270924364
"1294","gene-ACX60_RS06570_ACX60_RS06570",0.0191574576445311,0.980842542355469,0.401064440648216,0.400251991994445,"D Over L",451.23661664416,874.852880529931,590.307633942111,116.804154607663,158.951630867822,49.4275588347315
"1295","gene-ACX60_RS06575_yddG",0.0172131032690723,0.982786896730928,0.535160657233432,0.532988259416427,"D Over L",91.9996985391005,257.616252479452,95.5058822556943,91.7746929060206,82.4193641536853,79.344239182069
"1296","gene-ACX60_RS06580_ACX60_RS06580",0.00261870044036894,0.997381299559631,0.537766999622806,0.537555247844498,"D Over L",1206.94842607249,1247.13070203203,1547.39849654705,458.873464530103,505.1129603133,153.485577434166
"1297","gene-ACX60_RS06585_ACX60_RS06585",0.0193085142861791,0.980691485713821,0.358585380594816,0.357021984549663,"D Over L",212.475494245065,302.289591059704,255.021026023184,88.1990555200718,90.6613005690538,45.5253831372527
"1319","gene-ACX60_RS06700_rplI",0.0200953604469417,0.979904639553058,2.79544818500313,2.79570636890601,"D Over L",3005.32348561062,1885.95944372963,3231.95969633366,5303.8621224908,5954.21035035981,13143.8284743411
"1331","gene-ACX60_RS06760_pgaB",6.62721956168344e-06,0.999993372780438,0.546187154740636,0.545889199179088,"D Over L",840.409944591307,719.240751142054,841.264579869308,426.692728056563,514.532316216578,338.188560448163
"1333","gene-ACX60_RS06770_pgaD",0.0159972873629224,0.984002712637078,0.536910688084749,0.535165881089934,"D Over L",150.412205548053,100.515011805567,167.643303959463,82.2396598768237,93.0161395448734,59.833360694675
"1336","gene-ACX60_RS06785_ACX60_RS06785",0.0189739483929697,0.98102605160703,1.90019008993915,1.90219173018596,"D Over L",1120.78997823428,128.063570596722,990.61952339683,1129.90141395984,921.919459033365,426.637876257683
"1373","gene-ACX60_RS06970_ACX60_RS06970",0.0280170941780065,0.971982905821994,0.466450434345521,0.465032184946933,"D Over L",221.96752663402,213.687469542204,197.107884655369,88.1990555200718,69.4677497866776,65.0362616246467
"1378","gene-ACX60_RS06995_miaA",0.0401323466076989,0.959867653392301,0.461672109931061,0.461490522505449,"D Over L",1389.48751047546,2503.94062742311,1658.14467916269,460.065343658753,505.1129603133,377.210317422951
"1406","gene-ACX60_RS07135_ACX60_RS07135",0.0148940645010324,0.985105935498968,0.540306545310979,0.537947556065527,"D Over L",92.7298548767124,85.6238989454826,105.666082495662,42.9076486313863,55.3387159317601,46.8261083697457
"1420","gene-ACX60_RS07210_ACX60_RS07210",0.0118946399730093,0.988105360026991,0.35732338341014,0.34609706840741,"D Over L",45.2696929319384,21.5921136471217,51.8170212238342,9.53503302919695,5.88709743954895,1.30072523249293
"1427","gene-ACX60_RS07250_ACX60_RS07250",0.025336524495452,0.974663475504548,1.93463454312954,1.93717950226785,"D Over L",158.443925261784,130.297237525734,160.531163791486,460.065343658753,535.725866998954,556.710399506976
"1584","gene-ACX60_RS08050_ACX60_RS08050",0.00932244310922148,0.990677556890779,0.47300793734289,0.472948927907783,"D Over L",5001.57091264158,4890.24146325156,5893.93215920514,1626.91501060673,1680.17760924727,545.00387241454
"1585","gene-ACX60_RS08055_ACX60_RS08055",0.0201216418670308,0.979878358132969,0.294279193204735,0.293992475566784,"D Over L",1478.56658366412,992.492672124594,2157.0105109451,286.050990875908,284.935516074169,96.2536672044772
"1606","gene-ACX60_RS08160_ACX60_RS08160",1.44504932442224e-05,0.999985549506756,0.522007885584711,0.520930912008437,"D Over L",297.903785745659,192.095355895083,371.86332878281,139.449858052005,108.322592887701,98.8551176694631
"1615","gene-ACX60_RS08205_ACX60_RS08205",0.00536526354091549,0.994634736459085,0.493399030638286,0.492707184607144,"D Over L",262.126125202675,602.345515190395,402.343929502712,214.538243156931,186.032279089747,166.492829759096
"1632","gene-ACX60_RS08290_ACX60_RS08290",1.11022302462516e-16,1,0.353233809104459,0.351048417654961,"D Over L",150.412205548053,169.758686604957,212.34818501532,114.420396350363,134.225821621716,49.4275588347315
"1674","gene-ACX60_RS08500_ACX60_RS08500",0.00401775677262772,0.995982243227372,0.0815547816554616,0.0807576303079546,"D Over L",61.3331323594003,208.475580041175,77.2175218237529,17.8781869297443,28.258067709835,3.9021756974788
"1675","gene-ACX60_RS08505_ACX60_RS08505",0.0113854006996207,0.988614599300379,0.0851503507528156,0.0844700703603634,"D Over L",70.0950084107432,218.899359043234,75.1854817757594,20.2619451870435,27.0806482219252,3.9021756974788
"1676","gene-ACX60_RS08510_ACX60_RS08510",0.000885739322608381,0.999114260677392,0.0811627076753822,0.0793913356011868,"D Over L",27.0157844916406,61.0535627263441,48.7689611518439,5.95939564324809,8.24193641536853,3.9021756974788
"1677","gene-ACX60_RS08515_ACX60_RS08515",0.000117370193083555,0.999882629806916,0.0597100532789028,0.0578028722754609,"D Over L",32.8570351925359,61.0535627263441,39.6247809358732,2.38375825729924,5.88709743954895,2.60145046498587
"1679","gene-ACX60_RS08525_ACX60_RS08525",0.0110925504051312,0.988907449594869,0.0870319213421272,0.0856423617486325,"D Over L",38.6982858934312,109.449679521617,36.5767208638829,9.53503302919695,7.06451692745874,3.9021756974788
"1680","gene-ACX60_RS08530_ACX60_RS08530",0.00191667657615402,0.998083323423846,0.0886208912663328,0.087610235012951,"D Over L",52.5712563080574,113.917013379642,57.9131413678147,26.2213408302916,12.9516143670077,5.20290092997174
"1681","gene-ACX60_RS08535_ACX60_RS08535",0.0331669657158713,0.966833034284129,0.0786180338209259,0.07764899118079,"D Over L",58.4125070089527,113.917013379642,49.7849811758407,20.2619451870435,22.370970270286,10.4058018599435
"1703","gene-ACX60_RS08645_ACX60_RS08645",0.00679123238346779,0.993208767616532,0.458322307980085,0.458261104604196,"D Over L",4617.50867905771,3421.97773524729,5462.12364900652,880.798676072068,1330.48402133806,227.626915686264
"1711","gene-ACX60_RS08685_ACX60_RS08685",0.000115752215221421,0.999884247784779,1.96079824755227,1.96440454995077,"D Over L",681.966019329523,77.4337868724364,633.996494973971,887.949950843966,999.629145235411,515.087192067202
